route_id,route_name,station_order,station_name,minutes_from_previous,cumulative_minutes,source_note
MSB_VLCY,Chennai Beach to Velachery,1,Chennai Beach,0,0,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,2,Chennai Fort,4,4,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,3,Park Town,3,7,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,4,Chintadripet,3,10,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,5,Chepauk,3,13,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,6,Thiruvallikeni,3,16,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,7,Light House,3,19,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,8,Mundakakanni Amman Koil,3,22,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,9,Thirumayilai,3,25,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,10,Mandaveli,3,28,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,11,Greenways Road,3,31,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,12,Kotturpuram,3,34,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,13,Kasturba Nagar,3,37,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,14,Indira Nagar,3,40,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,15,Thiruvanmiyur,4,44,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,16,Taramani,4,48,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,17,Perungudi,4,52,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
MSB_VLCY,Chennai Beach to Velachery,18,Velachery,5,57,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
VLCY_MSB,Velachery to Chennai Beach,1,Velachery,0,0,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
VLCY_MSB,Velachery to Chennai Beach,2,Perungudi,5,5,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
VLCY_MSB,Velachery to Chennai Beach,3,Taramani,4,9,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
VLCY_MSB,Velachery to Chennai Beach,4,Thiruvanmiyur,4,13,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
VLCY_MSB,Velachery to Chennai Beach,5,Indira Nagar,4,17,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
VLCY_MSB,Velachery to Chennai Beach,6,Kasturba Nagar,3,20,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
VLCY_MSB,Velachery to Chennai Beach,7,Kotturpuram,3,23,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
VLCY_MSB,Velachery to Chennai Beach,8,Greenways Road,3,26,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
VLCY_MSB,Velachery to Chennai Beach,9,Mandaveli,3,29,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
VLCY_MSB,Velachery to Chennai Beach,10,Thirumayilai,3,32,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
VLCY_MSB,Velachery to Chennai Beach,11,Mundakakanni Amman Koil,3,35,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
VLCY_MSB,Velachery to Chennai Beach,12,Light House,3,38,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
VLCY_MSB,Velachery to Chennai Beach,13,Thiruvallikeni,3,41,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
VLCY_MSB,Velachery to Chennai Beach,14,Chepauk,3,44,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
VLCY_MSB,Velachery to Chennai Beach,15,Chintadripet,3,47,Estimated prototype dataset; station sequences based on Chennai suburban line references; durations are approximate.
